Адресс	Код	СК	РА	РК	РД	А	С	Адрес	Новый код	
"017"	"F200"	"0018"	"0017"	"F200"	"F200"	"0000"	"0"	
"018"	"4022"	"0019"	"0022"	"4022"	"01AA"	"01AA"	"0"	
"019"	"4021"	"001A"	"0021"	"4021"	"7C89"	"7E33"	"0"	
"01A"	"3020"	"001B"	"0020"	"3020"	"7E33"	"7E33"	"0"	"020"	"7E33"	
"01B"	"F200"	"001C"	"001B"	"F200"	"F200"	"0000"	"0"	
"01C"	"4023"	"001D"	"0023"	"4023"	"A299"	"A299"	"0"	
"01D"	"1020"	"001E"	"0020"	"1020"	"7E33"	"2211"	"0"	
"01E"	"3020"	"001F"	"0020"	"3020"	"2211"	"2211"	"0"	"020"	"2211"	
"01F"	"F000"	"0020"	"001F"	"F000"	"F000"	"2211"	"0"	
